Series Name,Series Code,Country Name,Country Code,1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Afghanistan,AFG,0.16520832089736,0.12999559417753,0.135366587543459,0.154503240567311,0.167612355743012,0.153557886047794,0.18152216644272,0.161894231687439,0.167066411474234,0.131782918458271,0.150614656164027,0.163103934258866,0.201224304559119,0.2319613460576,0.293956932229695,0.267771904296961,0.269229595949307,0.246823271293135,0.233882194583363,0.210643419418854,0.183363552358795,0.0961965810608727,0.0850871075160703,0.0758064942125158,0.0686398621540897,0.0624346107290676,0.0566423445298646,0.0527632181252538,0.0407225399194997,0.0372347810411313,0.0378461357038751,0.0473773238699389,0.0512555893742253,0.0370753312494308,0.0517439645638815,0.0624275315344817,0.0838928056625891,0.151720912092499,0.238398541311049,0.289987629819143,0.406424217113203,0.345148782903553,0.280454641055391,0.253727945460333,0.262555710891417,0.245101422350223
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Albania,ALB,1.98949792330655,2.51591439803203,2.30389741687392,1.84900669071079,1.91063363704144,2.01358456245734,2.27587639136105,2.53062504042839,2.89820851758249,1.93505831031996,2.69302391440235,2.62485678513424,2.6832399189862,2.69429137362284,2.65801538201043,2.66535622064854,2.41406081518223,2.33159853051997,2.78324307461439,1.67810665434977,1.31221260013653,0.774724910911141,0.723790291969695,0.600203707768206,0.654537133005248,0.636625312930768,0.490365059535664,0.560271437384331,0.960164411868586,0.978174680894664,1.05330417594038,1.22954070946998,1.4126971959616,1.37621273504355,1.41249821101668,1.30257636722163,1.32233485532238,1.48431113888781,1.49560019934969,1.57857358391855,1.80371472482914,1.6979655571764,1.69727939561161,1.90006971019389,1.60264803417777,1.57716262398295
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Algeria,DZA,1.25527052060045,1.85461177195589,2.43878057203056,1.97575810304337,1.92869762213411,2.29259921732671,2.38253066728909,3.45424622530682,2.44646072475515,3.46064609907623,2.34252335050805,1.92001619134537,2.4938597636466,3.26707032277556,3.24482431002614,3.30170472845904,3.53831812558477,3.43439950642026,3.18833494847287,2.98810984286616,2.99424563470989,2.96498636282543,2.97481241076926,3.06291962216753,3.31368806742244,3.31774582494844,2.93651170583821,3.54387655395728,3.00571944871188,2.83037996458696,2.67777217338409,2.82238889843384,2.83831965608151,2.70738828140555,3.23616827096358,3.00436514940905,3.20206733567142,3.17322455166924,3.43578736793731,3.31256060218823,3.30557126991506,3.47710809205046,3.52555735779834,3.73580277736793,3.85455657561633,3.69915598976548
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.46733566933901,7.18245663566904,6.91205338948512,6.73605484574634,6.4942004243981,6.66205168363352,7.06507147296457,7.23971271783233,7.66078388575348,7.97545440422557,8.01928429423459,7.78695000074249,7.59061514082999,7.31576070618458,7.35862494097896,7.29987193629782,6.74605212796168,6.51938706400271,6.42780997352794,6.12157986337213,6.12259470212791,5.8674101758869,5.91688403071809,5.90177532374279,5.83290621488897,5.96978631218674,6.07237020841688
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Angola,AGO,0.564548236096118,0.721245978268245,0.751239887196508,0.72077637996977,0.628568906605923,0.451353518485931,0.469221176481519,0.694736947493982,0.683062947974992,0.640966402195152,0.611135119645444,0.519354626128818,0.551348574103997,0.520982856139637,0.47190277210483,0.451618882781396,0.544085132259045,0.463508296402709,0.437295461971892,0.431743614699926,0.41553083007202,0.410522931864339,0.441721097947702,0.288119067989055,0.7870325472424,0.726233460982052,0.496361244979515,0.475815159521396,0.57708291408973,0.581961496322796,0.574316054293958,0.722958874715979,0.500225395509936,1.0018781174791,0.985736354999963,1.10501902714063,1.20313399963445,1.18500049364771,1.23442507446718,1.24409153765549,1.26282461903084,1.36118105470339,1.29507537348486,1.66474073594027,1.24024546214599,1.20286057885999
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Antigua and Barbuda,ATG,6.60956850070699,5.83216128981959,5.18507462686567,6.79719581749049,11.2920781810929,6.46768322991326,7.49222156083592,7.92085240827906,6.57019950929752,2.31169481936475,1.72076051779935,4.74853914760679,1.36502824218687,2.37400058265627,4.03580099051565,4.03789228228131,4.45622761961858,4.63042528047142,4.61272739001419,4.51572095701126,4.22445436899332,4.0952366180143,4.12542378034875,3.98325992500446,4.00502402795981,4.18052527325325,4.29582728996988,4.35689118321862,4.41961057396149,4.53454535887182,4.51179868414236,4.73040424037295,5.08663303909205,5.24926558454491,5.26654391456454,5.36500048365254,5.5860804988932,5.62522102649976,5.8759251147027,5.95697959740083,5.75196351943352,5.80009733544227,5.72993793435028,5.70480326699942,5.83954641643332,5.89655865519904
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Argentina,ARG,3.66615941648738,3.65700815412214,3.75415427499428,3.75336660448062,3.67015070415827,3.79926198227955,3.78041549059055,3.79288096280975,4.02981026998763,3.89788833219675,3.6008100283307,3.59179341867078,3.59556404239252,3.5821484971648,3.3292256468773,3.39465765033634,3.68588331703513,3.83571434593551,3.64223245430046,3.43815141220892,3.53995921883975,3.61928035773818,3.47149448525499,3.55809941158059,3.67414170770385,3.83019839147142,3.87027000740855,3.87692639244616,4.03058881541224,3.8549919479614,3.58735031650151,3.3096836879838,3.5460883239776,4.09408291682224,4.16812854757591,4.46518602068451,4.41424641662401,4.7182244282458,4.44538780283611,4.60680413645499,4.64410645374173,4.62525961600278,4.58977417091963,4.5882296019405,4.6640107478523,4.61908548237078
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.6924695677987,0.759981243540201,0.824153606318789,1.05997548291326,0.809044886704558,1.03230198695281,1.08169108051084,0.975802049969214,1.12891750073544,1.16115550366196,1.00317470990231,1.13609087282285,1.2147078034605,1.45879556658591,1.48003503355128,1.72432720524801,1.90941107119298,1.50966901331398,1.46306891936556,1.70950183866857,1.97447948827919,1.89704008580942,1.89871937365811,1.64200409290141,1.75597603116466
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Aruba,ABW,243.870306191117,234.886547459893,258.819846289195,233.488930742797,168.729033747136,360.853233420262,189.163403240235,161.803637089663,170.083261087029,174.697500665602,165.104908613601,182.259075719293,92.3809745824022,228.355894710039,266.475105512011,2.86831939212055,7.23519803341258,10.0261792105306,10.6347325992922,7.84744726383369,8.22808022035839,7.89989008573313,8.95204402515723,8.60573663624511,8.81095313978387,8.72675480769231,8.88309089419667,9.24344328975561,9.10518510196057,26.1948752380219,25.9340244138733,25.6711617820448,26.4204520857169,26.5172934158421,27.200707780588,26.9477259654482,27.8950228211258,26.2295526746779,25.9153220639692,24.6705288731078,24.5075162181761,13.1577223088924,8.35356100776471,8.41006417792511,8.61037367861148,8.42691090090777
